ID,Name,Address,City,Country,Postcode,Latitude,Longitude,Distance (km),Operator,Operator Website,Operator Contact,Number of Chargers,Connectors,Usage Type,Membership Required,Cost,Access Info,Status,Last Update,Review (Latest),Review Author,Review Rating,Review Date,Images,Metadata
185609,Sckellstr. 2,Sckellstr. 2,München,Germany,81667,48.135199,11.596112,0.6507975252171935,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
179604,Mariahilfpl. 13,Mariahilfpl. 13,München,Germany,81541,48.125249,11.584219,0.6883302610290664,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
99879,Mariahilfplatz,Mariahilfplatz 13,München,Germany,81541,48.1252715,11.584444599999983,0.6884200799146849,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2018-02-06T07:33:00Z,No reviews,N/A,N/A,N/A,,
85273,Rosenheimer Platz,Rosenheimer Platz 6,München,Germany,81667,48.12892070060812,11.593732804229706,0.6892570161331394,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,24/7 nutzbare Ladesäulen direkt an der S Bahn Station mit 4 kostenlosen Parkplätzen,Operational,2017-03-31T06:19:00Z,No reviews,N/A,N/A,N/A,,
177253,Steinstr. 29,Steinstr. 29,München,Germany,81667,48.132389,11.596393,0.6896651066217613,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-09T03:11:00Z,No reviews,N/A,N/A,N/A,,Unknown
178877,Rosenheimer Platz 6,Rosenheimer Platz 6,München,Germany,81669,48.129023,11.594031,0.6958154617626572,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
192359,Sendlinger Tor,Sendlinger Tor,Munich,Germany,80336,48.13333,11.56667,0.7174427105591259,(Unknown Operator),,,1.0,"CCS (Type 2) (64 kW, NoneV, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2022-04-02T04:09:00Z,No reviews,N/A,N/A,N/A,,
54264,BMW Lenbachplatz,Lenbachplatz 7a,München,Germany,80333,48.14035940689455,11.568539739742265,0.7192407295602783,ChargeNow,https://www.chargenow.com/,,2.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase)), CCS (Type 2) (20 kW, NoneV, DC)",Public - Membership Required,True,,"Rund um die Uhr (24/7) nutzbar. Position: Zufahrt über Maxburgstraße
",Operational,2017-01-20T06:29:00Z,No reviews,N/A,N/A,N/A,,
96312,Herzogspitalstraße,Herzogspitalstraße 20,München,Germany,80331,48.1379373,11.566881100000046,0.7242162129467745,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-12-21T06:58:00Z,No reviews,N/A,N/A,N/A,,
184801,Herzogspitalstr. 20,Herzogspitalstr. 20,München,Germany,80331,48.137959,11.566801,0.7281778320621163,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
56946,Landratsamt,Mariahilfplatz 17,München,Germany,81541,48.12417000000001,11.58273,0.7559866322307288,(Business Owner at Location),,,2.0,"Unknown (22 kW, 400V, AC (Three-Phase)), Type 2 (Socket Only) (11 kW, 400V, AC (Three-Phase))",Public,,Free,"24/7 nutzbar mit 2 Ladeplätzen mit beliebiger Ladekarte. An Gebäudeecke unter dem grünen Schild ""E-Ladesäule"". Wer gar keine Karte hat, kann sie im Amt ausleihen Mo-Fr 8-12Uhr.",Operational,2020-06-06T15:27:00Z,Seems to only work with the card provided during business hours.,cptobvious,,2020-06-06T15:27:06.447Z,https://media.openchargemap.io/images/DE/OCM56946/OCM-56946.orig.2020060615260392.jpg,
